Country,Sign,Military base
Alabama,Alaba,3
American Samoa,Ameri,1
Alaska,Alask,3
Arizona,Arizo,3
Arkansas,Arkan,3
California,Calif,14
Colorado,Color,5
Connecticut,Conne,1
Delaware,Delaw,1
Florida,Flori,1
Georgia,Georg,6
Hawaii,Hawai,5
Idaho,Idaho,7
Illinois,Illin,3
Indiana,India,3
Iowa,Iowa,3
Kansas,Kansa,3
Kentucky,Kentu,3
Louisiana,Louis,2
Maine,Maine,4
Maryland,Maryl,4
Massachusetts,Massa,4
Michigan,Michi,3
Minnesota,Minne,2
Mississippi,Missi,3
Missouri,Misso,2
Montana,Monta,1
Nebraska,Nebra,1
Nevada,Nevad,1
New Hampshire,New H,3
New Jersey,New J,2
New Mexico,New M,5
New York,New Y,5
North Carolina,North,1
North Dakota,North,3
Ohio,Ohio,3
Oklahoma,Oklah,2
Oregon,Orego,6
Pennsylvania,Penns,5
Rhode Island,Rhode,3
South Carolina,South,2
South Dakota,South,1
Tennessee,Tenne,3
Texas,Texas,13
Utah,Utah,14
Vermont,Vermo,1
Virginia,Virgi,13
Washington,Washi,3
West Virginia,West ,1
Wisconsin,Wisco,2
Wyoming,Wyomi,1
