Country,Sign,Military base
Afghanistan,Afgha,4
Australia,Austr,2
Bahrain,Bahra,2
Belgium,Belgi,2
Brazil,Brazi,2
British Indian Ocean Territory,Briti,1
Bulgaria,Bulga,4
Cuba,Cuba,1
Curaçao,Curaç,1
Djibouti,Djibo,1
Germany,Germa,4
Greece,Greec,1
Greenland,Green,1
Honduras,Hondu,1
Iceland,Icela,1
Israel,Israe,5
Italy,Italy,1
Japan,Japan,1
Kosovo,Kosov,4
Kuwait,Kuwai,2
Netherlands,Nethe,1
Niger,Niger,1
Norway,Norwa,2
Oman,Oman,1
Philippines,Phili,1
Portugal,Portu,1
Qatar,Qatar,1
Saudi Arabia,Saudi,1
Singapore,Singa,2
South Korea,South,3
Spain,Spain,1
Syria,Syria,2
Tunisia,Tunis,3
Turkey,Turke,6
United Arab Emirates,Unite,1
United Kingdom,Unite,2
